Time [s],CH0 [V],CH1 [V]
8.960000e-01,0.008000000000, -10.240000000000,
8.960040e-01,0.008000000000, -10.240000000000,
8.960080e-01,0.008000000000, -10.240000000000,
8.960120e-01,0.008000000000, -10.240000000000,
8.960160e-01,0.008000000000, -10.240000000000,
8.960200e-01,0.008000000000, -10.240000000000,
8.960240e-01,0.008000000000, -10.240000000000,
8.960280e-01,0.008000000000, -10.240000000000,
8.960320e-01,0.008000000000, -10.240000000000,
8.960360e-01,0.008000000000, -10.240000000000,
8.960400e-01,0.000000000000, -10.240000000000,
8.960440e-01,0.008000000000, -10.240000000000,
8.960480e-01,0.008000000000, -10.240000000000,
8.960520e-01,0.008000000000, -10.240000000000,
8.960560e-01,0.008000000000, -10.240000000000,
8.960600e-01,0.000000000000, -10.240000000000,
8.960640e-01,0.008000000000, -10.240000000000,
8.960680e-01,0.008000000000, -10.240000000000,
8.960720e-01,0.008000000000, -10.240000000000,
8.960760e-01,0.008000000000, -10.240000000000,
8.960800e-01,0.008000000000, -10.240000000000,
8.960840e-01,0.008000000000, -10.240000000000,
8.960880e-01,0.008000000000, -10.240000000000,
8.960920e-01,0.008000000000, -10.240000000000,
8.960960e-01,0.008000000000, -10.240000000000,
8.961000e-01,0.008000000000, -10.240000000000,
8.961040e-01,0.008000000000, -10.240000000000,
8.961080e-01,0.008000000000, -10.240000000000,
8.961120e-01,0.008000000000, -10.240000000000,
8.961160e-01,0.008000000000, -10.240000000000,
8.961200e-01,0.008000000000, -10.240000000000,
8.961240e-01,0.008000000000, -10.240000000000,
8.961280e-01,0.008000000000, -10.240000000000,
8.961320e-01,0.008000000000, -10.240000000000,
8.961360e-01,0.000000000000, -10.240000000000,
8.961400e-01,0.008000000000, -10.240000000000,
8.961440e-01,0.008000000000, -10.240000000000,
8.961480e-01,0.008000000000, -10.240000000000,
8.961520e-01,0.000000000000, -10.240000000000,
8.961560e-01,0.008000000000, -10.240000000000,
8.961600e-01,0.008000000000, -10.240000000000,
8.961640e-01,0.008000000000, -10.240000000000,
8.961680e-01,0.008000000000, -10.240000000000,
8.961720e-01,0.000000000000, -10.240000000000,
8.961760e-01,0.008000000000, -10.240000000000,
8.961800e-01,0.008000000000, -10.240000000000,
8.961840e-01,0.008000000000, -10.240000000000,
8.961880e-01,0.008000000000, -10.240000000000,
8.961920e-01,0.008000000000, -10.240000000000,
8.961960e-01,0.008000000000, -10.240000000000,
8.962000e-01,0.000000000000, -10.240000000000,
8.962040e-01,0.008000000000, -10.240000000000,
8.962080e-01,0.008000000000, -10.240000000000,
8.962120e-01,0.008000000000, -10.240000000000,
8.962160e-01,0.008000000000, -10.240000000000,
8.962200e-01,0.008000000000, -10.240000000000,
8.962240e-01,0.008000000000, -10.240000000000,
8.962280e-01,0.008000000000, -10.240000000000,
8.962320e-01,0.008000000000, -10.240000000000,
8.962360e-01,0.008000000000, -10.240000000000,
8.962400e-01,0.008000000000, -10.240000000000,
8.962440e-01,0.000000000000, -10.240000000000,
8.962480e-01,0.008000000000, -10.240000000000,
8.962520e-01,0.008000000000, -10.240000000000,
8.962560e-01,0.008000000000, -10.240000000000,
8.962600e-01,0.008000000000, -10.240000000000,
8.962640e-01,0.000000000000, -10.240000000000,
8.962680e-01,0.008000000000, -10.240000000000,
8.962720e-01,0.008000000000, -10.240000000000,
8.962760e-01,0.008000000000, -10.240000000000,
